question,dataset,option,prop
q17,human,1,0.5560916767189384
q17,human,2,0.17249698431845598
q17,human,3,0.20627261761158022
q17,human,4,0.06513872135102533
q17,gemma,1,0.025362318840579712
q17,gemma,2,0.463768115942029
q17,gemma,3,0.3719806763285024
q17,gemma,4,0.1388888888888889
q17,gpt-oss,1,0.0012121212121212121
q17,gpt-oss,2,0.0
q17,gpt-oss,3,0.4290909090909091
q17,gpt-oss,4,0.5696969696969697
q17,llama,1,0.013237063778580024
q17,llama,2,0.0950661853188929
q17,llama,3,0.30324909747292417
q17,llama,4,0.5884476534296029
q17,qwen,1,0.0
q17,qwen,2,0.0
q17,qwen,3,0.39229843561973526
q17,qwen,4,0.6077015643802648
q18,human,1,0.523680649526387
q18,human,2,0.18132611637347767
q18,human,3,0.2435723951285521
q18,human,4,0.05142083897158322
q18,gemma,1,0.4330175913396482
q18,gemma,2,0.5669824086603519
q18,gemma,3,0.0
q18,gemma,4,0.0
q18,gpt-oss,1,0.1432469304229195
q18,gpt-oss,2,0.5225102319236017
q18,gpt-oss,3,0.330150068212824
q18,gpt-oss,4,0.004092769440654843
q18,llama,1,0.36129905277401897
q18,llama,2,0.34776725304465494
q18,llama,3,0.22868741542625168
q18,llama,4,0.06224627875507442
q18,qwen,1,0.023004059539918808
q18,qwen,2,0.06630581867388363
q18,qwen,3,0.8552097428958051
q18,qwen,4,0.05548037889039242
q19,human,1,0.35182679296346414
q19,human,2,0.2124492557510149
q19,human,3,0.35588633288227334
q19,human,4,0.07983761840324763
q19,gemma,1,0.0013550135501355014
q19,gemma,2,0.8224932249322493
q19,gemma,3,0.17615176151761516
q19,gemma,4,0.0
q19,gpt-oss,1,0.17053206002728513
q19,gpt-oss,2,0.42701227830832195
q19,gpt-oss,3,0.3969986357435198
q19,gpt-oss,4,0.005457025920873124
q19,llama,1,0.2476319350473613
q19,llama,2,0.2354533152909337
q19,llama,3,0.39648173207036536
q19,llama,4,0.12043301759133965
q19,qwen,1,0.029769959404600813
q19,qwen,2,0.05277401894451962
q19,qwen,3,0.8092016238159675
q19,qwen,4,0.10825439783491204
