question,human,system
q3,utile,necessaria;accogliente;inclusivo;inclusiva;strutturare;positivo;efficace
q4,utile;importante;fondamentale;strumento;indispensabile;sostegno;progetto;dettagliato;funzionale,personalizzato;complesso;impegnativo;complicare;personalizzare;strutturare
q5,risorsa;presente;preparato;indispensabile;prezioso;collaborazione;accogliente;preparata;importante;ottimo,competente;fondamentale;essenziale;dedicare;supportivo;sensibile
q6,ottima;difficile;indispensabile;ottimo;buono;funzionale;proficua;faticosa,efficace;collaborativo;sinergico;collaborativa;sinergica;preziosa;essenziale
q7,fondamentale;risorsa;buono;unito;indispensabile;ottimo;empatico;poco;fantastico;complesso,inclusivo;dinamico;coeso;solidale;vivace;accogliente;aperto
q8,fondamentale;difficile;utile;adeguata;necessario;necessaria;ottima;possibile,flessibile;essenziale;importante;mirare
q9,collaborativi;collaborazione;importante;preparato;risorsa;poco;supporto;presento;indispensabili;collaborativo,prezioso;supportivo;competente;utile;essenziale;empatico
q10,collaborazione;presente;disponibile;difficile;difficoltà;supporto;bisogno;indispensabile,coinvolgere;coinvolta;essenziale;importante;sensibile;delicare;cruciale
q11,fondamentale;difficile;necessario;indispensabile;futuro;lungimirante;buono;poco,importante;personalizzato;strutturare;realistico
q12,scarso;fondamentale;poco;nulla;buono;necessaria,utile;efficace;efficiente;puntuale;essenziale;sinergico;complessa;collaborativo;interdisciplinare;necessario
q13,obiettivo;necessaria;indispensabile;necessario;fondamentale;efficace;auspicabile;libertà;buono;difficile,autonomo;importante;essenziale;prioritaria;autonoma;prioritario;promuovere
q14,inutile;poco;partecipare;buono;fondamentale;collaborazione;necessario;costruttivo;funzionale;sempre,strumentale;organizzare;inclusivo;complesso;strumento;efficace;coinvolgente;strategico;completo;innovativo
q15,personalizzata;importante;difficile;attenta;buono;sempre;complicata,oggettiva;equo;obiettivo;obiettiva;equa;delicare
q16,presente;attento;assente;accogliente;guida;collaborativo;attenta;collaborazione;riferimento;discreto,supportivo;disponibile;sensibile;decisivo;aprire;visionario;aperto;essenziale;proattivo
